provider_name,provider_model,traffic_mode,traffic_level,input_avg_len,input_stdev_len,input_min_len,input_max_len,input_total_tokens,output_avg_len,output_stdev_len,output_min_len,output_max_len,output_total_tokens,ttft_mean,ttft_stdev,ttft_p05,ttft_p50,ttft_p80,ttft_p95,ttft_p99,ttft_p999,ttft_distribution,user_tps_mean,user_tps_stdev,user_tps_p05,user_tps_p50,user_tps_p80,user_tps_p95,user_tps_p99,user_tps_p999,user_tps_distribution,e2e_mean,e2e_stdev,e2e_p05,e2e_p50,e2e_p80,e2e_p95,e2e_p99,e2e_p999,e2e_distribution,summary_total_num_requests,summary_total_elapsed_time_s,summary_job_level_tps,summary_actual_qps,summary_num_failed_requests,per_gpu_num_gpus,per_gpu_tps_mean,per_gpu_tps_stdev,acceptance_rate,hf_dataset_name
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.1,1946.3333333333333,277.2740321214536,1707,2335,5839,1864.3333333333333,245.94895586053804,1658,2210,5593,1156.0894583332508,497.6879813883214,673.9001830002962,1003.6070830010431,1497.8799585995148,1745.0163963987507,1810.919446478547,1825.7476327465013,,182.5369692642847,12.238569074604206,168.23460324280484,185.38151246595606,191.69260751838175,194.84815504459462,195.68963438491804,195.8789672364908,,11340.947069666678,701.28611438432,10658.147408100012,11132.530208999015,11823.935758800144,12169.638533700709,12261.82594034086,12282.568106834893,,3,25.055230541998753,223.22684242017854,0.11973547778661463,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.2,1969.6666666666667,211.81018756319432,1771,2285,11818,1932.1666666666667,192.75668312379963,1736,2276,11593,749.8259236666248,117.52932545050736,661.5220002495334,684.8221250002098,826.0554169992247,940.8326352504446,971.4398934507699,978.3265265458432,,172.16956017372442,9.630766718004852,164.37460748518396,166.5520181285288,183.06751882772568,186.71729813419236,187.6905726159168,187.90955937430482,,11996.609104333098,1200.5004130221923,11143.80422900058,11472.935729500023,12148.168916999566,13954.175354248946,14435.77707084878,14544.137457083745,,6,31.1949425419989,371.63075342715945,0.19233887005632339,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.3,1937.6666666666667,210.07300318381382,1713,2285,17439,1991.3333333333333,217.61484834960646,1707,2275,17922,467.7127454441587,186.69610638237407,221.95282540014887,408.1342079989554,655.2549835996615,686.9148583999049,701.2821380803507,704.514776008451,,163.74888431237048,7.38078133046939,156.58173577496348,159.64435441332665,172.00903513721227,175.19656789259358,175.36489037575714,175.40276293446894,,12656.675430555171,1542.6535939648643,10272.17210779927,12764.977749999161,13932.111658200301,14500.782783599425,14798.522823919047,14865.514332990962,,9,37.273044125000524,480.83005884617285,0.24146136199171722,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.4,2030.0,226.91004091195848,1709,2347,24360,2078.5,203.81098269393303,1707,2301,24942,345.0312534999587,207.2361548715878,224.37826904997564,250.64302050031984,307.76109999897017,803.556166150247,816.3641996312981,819.2460071645346,,148.20039255532149,4.501988641226236,144.05168334512967,147.87425358461485,149.2434036692257,155.07193940651692,160.26511145499074,161.43357516589737,,14389.668944416824,1508.5283258184743,12103.040378799687,14870.083417000387,15675.67898339912,16216.73812745139,16303.442125491565,16322.950525050604,,12,35.356053290999625,705.4520422489953,0.33940439848400067,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.5,2032.9333333333334,196.99288199210537,1690,2347,30494,2050.2,151.50278325276184,1801,2327,30753,357.8344888665015,397.25962864780786,227.13946680014487,243.44529200061515,263.1864413990115,788.6996704995893,1630.5140004990599,1819.9222247489424,,142.57735302950817,6.469005748696817,136.36510758252194,140.40949919086,146.79439529544587,153.20101769010589,158.41070350221696,159.58288280994196,,14739.967488733237,1144.6247444604821,13312.883899999724,14306.573208001282,15762.948208200396,16482.545658199702,17560.44056523886,17802.96691932267,,15,35.126950750000105,875.4816271662836,0.427022547637442,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.6,1971.4444444444443,163.77159644599286,1689,2285,35486,1978.8333333333333,167.0659384128847,1676,2303,35619,360.29107183306525,191.36310736682918,222.1457562989599,250.83750049998343,540.2318579999704,711.8977848486791,798.6487569689596,818.167725696023,,136.11413105605655,7.541478943055322,128.1478798548384,134.81441609483574,142.57289127590764,148.3241751412615,152.9281217599873,153.96400974920064,,14925.034974499793,1311.2567830196435,13149.693681249119,14913.153728999532,16216.381891999845,16944.27041250019,17035.00468250073,17055.41989325085,,18,36.423666999999114,977.9081277017184,0.49418417975324774,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.8,1964.8333333333333,170.0521161944838,1689,2300,47156,1974.2916666666667,191.25887325094808,1676,2327,47383,292.6898057084297,114.86771519627824,214.88247145061905,248.04631249935483,322.10443360017973,599.189399999795,644.6947926602115,645.6619914663443,,129.1998579413204,6.694339487295886,122.35284051695474,126.96010980430032,133.9977169159672,142.44560422441816,143.23542718591847,143.40410573390668,,15612.880451375,1693.1296593567367,13508.65855619968,15127.17272899954,17650.53035000019,18465.02647490006,18922.128539840523,19029.811966784728,,24,37.58361341700038,1260.7356156597496,0.6385761723789966,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,1.0,1984.4666666666667,191.349894753622,1727,2326,59534,1956.5666666666666,213.33849212512547,1535,2303,58697,658.7649195333142,1524.192896912191,211.95274824904118,234.91960450064653,284.6040084004927,3172.332173250366,6698.66814629024,7236.912264029243,,122.68552825205997,10.268669754893644,114.30028533603063,118.56878231448124,127.82092163096999,147.55779238904896,153.02624479493377,153.33281319825693,,16733.19461806659,1994.3451715169863,13567.00233340025,17083.017312500488,18475.029674999678,19342.402896050407,19563.027407749887,19636.114878874978,,30,41.834160667000106,1403.0877891211464,0.717117291746331,0,1,0,0,,
