provider_name,provider_model,traffic_mode,traffic_level,input_avg_len,input_stdev_len,input_min_len,input_max_len,input_total_tokens,output_avg_len,output_stdev_len,output_min_len,output_max_len,output_total_tokens,ttft_mean,ttft_stdev,ttft_p05,ttft_p50,ttft_p80,ttft_p95,ttft_p99,ttft_p999,ttft_distribution,user_tps_mean,user_tps_stdev,user_tps_p05,user_tps_p50,user_tps_p80,user_tps_p95,user_tps_p99,user_tps_p999,user_tps_distribution,e2e_mean,e2e_stdev,e2e_p05,e2e_p50,e2e_p80,e2e_p95,e2e_p99,e2e_p999,e2e_distribution,summary_total_num_requests,summary_total_elapsed_time_s,summary_job_level_tps,summary_actual_qps,summary_num_failed_requests,per_gpu_num_gpus,per_gpu_tps_mean,per_gpu_tps_stdev,acceptance_rate,hf_dataset_name
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.1,485.0,52.94021785624486,427,555,1455,582.6666666666666,36.444783196257625,553,634,1748,781.5245556666923,231.19391884199058,502.6434502991833,932.5580000004265,947.3075000005338,954.6822500005874,956.6488500006017,957.0913350006049,,189.26537336889407,7.226227148735248,183.66331722790707,184.80041146902232,193.59540571620167,197.99290283979133,199.16556873941525,199.42941856683063,,3868.136694666949,375.90736350182937,3530.838129199401,3705.061292001119,4114.745792000758,4319.588042000578,4374.21264200053,4386.503177000519,,3,19.370330458999888,90.2411037178687,0.15487603612906525,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.2,544.3333333333334,87.93684602536578,459,693,3266,548.1666666666666,119.43675685855209,404,688,3289,930.7624583334473,420.20185460406714,605.8102497495383,766.2872920009249,960.0558330002968,1612.1620207495653,1786.0570041493704,1825.1833754143272,,191.17397131983486,8.353511800951438,180.46815095626621,192.82112540888042,200.03968194575344,200.3093815970358,200.38130150404444,200.39748348312136,,3817.9330348336102,535.0983594317366,3022.978917000273,3950.9182085002976,4356.205375001082,4383.80034399961,4391.159002399218,4392.814700539129,,6,26.25575566599946,125.26777144941107,0.22852132219412175,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.3,538.1111111111111,97.63474386649736,431,693,4843,527.3333333333334,87.08616422830896,435,675,4746,629.2771760001617,445.3160791049908,261.3816169992788,441.78787500095495,789.1501504003827,1384.4023498004385,1688.937736360458,1757.4581983364633,,190.83457193832157,10.498894396815782,176.05417674420886,193.93950202129142,199.66127194752713,203.54285231944658,205.06294238409086,205.40496264863583,,3404.1055047778677,453.7833377683392,2839.7202168005606,3293.2437089984887,3994.1474582010414,4011.3869336004427,4013.1724539202696,4013.5741959922307,,9,28.156120374998864,168.56015448116196,0.3196463106469569,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.4,564.1666666666666,95.63196234639453,429,701,6770,555.75,71.62067322591524,435,678,6669,468.16122925004794,341.07350261480286,188.41504810034166,316.9794585010095,657.2610086001077,1034.587639249275,1329.988294249761,1396.4534416248703,,178.49777374668318,12.940246414139706,165.0297182299465,174.31918754189377,194.60440961781453,200.2674936351849,200.67668861764142,200.76875748869412,,3596.0303195832544,522.4551426877559,3006.30244185013,3459.8229789999095,3949.028708600599,4549.373835599545,4627.369867119269,4644.918974211207,,12,25.042359291999674,266.3087739552781,0.4791880772924483,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.5,560.9333333333333,83.46853033063154,419,701,8414,548.0,84.43537963042111,404,683,8220,343.7331583336345,181.58095924470254,212.2177876000933,249.21716599965293,422.93867539956443,706.6330793997622,726.823715880746,731.3666090889674,,173.8539374336451,10.619391542462832,163.74925878586168,167.92685842084455,180.52255380144246,193.75112606622523,194.55248932626674,194.7327960597761,,3502.9133112668205,503.59796319403677,2791.3373167009922,3461.5448340009607,3938.8850169998477,4265.538566199575,4437.321413239879,4475.972553823947,,15,23.201976292000836,354.2801654716777,0.6464966523205798,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.6,553.2222222222222,72.97149790276228,419,693,9958,542.6111111111111,87.49548489232579,404,683,9767,266.01360649985713,123.47030615165973,194.90464819864428,230.7196664996809,276.7655999992713,406.31795264980553,681.4617905301195,743.3691540531911,,171.07499509901223,9.215242424876177,159.79205393439798,167.03215059986303,178.93822939803957,185.3481501374239,191.90492278327412,193.38019662859043,,3441.750379499758,492.70887267992407,2868.722614250055,3354.5562290000817,3901.551033199576,4286.213966950527,4300.6046933904145,4303.842606839389,,18,24.67330129199945,395.85298636818584,0.7295335061561733,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.8,551.4166666666666,78.03894149005923,419,698,13234,527.625,81.01173397518824,404,683,12663,325.54795312512397,178.17435172437126,200.14785439961997,236.0216044999106,327.7053415993578,737.3560463007377,784.0293755710627,792.5346000580558,,166.95686923586194,11.430116213884252,150.16640015320132,166.6299236671813,177.9997009849385,186.51911502840608,193.21991507668105,194.66732168146947,,3508.4550729167554,653.7373099112962,2605.7792188494204,3426.5864585004238,3960.549942199941,4786.203198200381,5054.054502319941,5096.672162431826,,24,27.219252333999975,465.22218335080635,0.8817288478574865,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,1.0,553.4666666666667,80.58979808608255,437,710,16604,531.6333333333333,86.57693431599178,401,687,15949,268.8450875336154,144.83845747009653,189.52466029995776,230.14010450060596,262.87093360115256,581.6523100500476,799.2976483206985,802.9556395330128,,157.64385412958342,10.441782615952473,142.366766203922,157.81850316422987,166.17895507061135,175.88751113113776,181.36671363092526,182.06855176931532,,3662.135382000209,625.8227172830793,2809.460154199951,3608.997562500008,4233.529166800509,4671.973470800184,4854.419999430429,4887.699674343469,,30,27.538455500000055,579.1537582781274,1.0893857137340162,0,1,0,0,,
