provider_name,provider_model,traffic_mode,traffic_level,input_avg_len,input_stdev_len,input_min_len,input_max_len,input_total_tokens,output_avg_len,output_stdev_len,output_min_len,output_max_len,output_total_tokens,ttft_mean,ttft_stdev,ttft_p05,ttft_p50,ttft_p80,ttft_p95,ttft_p99,ttft_p999,ttft_distribution,user_tps_mean,user_tps_stdev,user_tps_p05,user_tps_p50,user_tps_p80,user_tps_p95,user_tps_p99,user_tps_p999,user_tps_distribution,e2e_mean,e2e_stdev,e2e_p05,e2e_p50,e2e_p80,e2e_p95,e2e_p99,e2e_p999,e2e_distribution,summary_total_num_requests,summary_total_elapsed_time_s,summary_job_level_tps,summary_actual_qps,summary_num_failed_requests,per_gpu_num_gpus,per_gpu_tps_mean,per_gpu_tps_stdev,acceptance_rate,hf_dataset_name
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.1,5741.666666666667,1112.0459622795374,4785,7301,17225,3027.6666666666665,1689.3962103531414,1277,5311,9083,1173.4389029995025,632.4368473317627,716.3238210987402,738.7622080004803,1536.1391835998802,1934.8276713995801,2041.1446014795001,2065.0659107474826,,183.47162787432762,4.711884633848602,177.79167146824238,186.6122641430283,186.83951397589104,186.9531388923224,186.98343887003742,186.9902563650233,,17505.031888999536,8779.45762677165,8686.35570839906,15437.691834000361,23659.79468339974,27770.84610809943,28867.12648801935,29113.789573501334,,3,42.660945583000284,212.91136133699374,0.07032192931971608,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.2,5834.0,849.6891588496741,5039,7099,35004,2395.3333333333335,1722.182304196884,20,5428,14372,832.9710208333078,414.08272398830167,288.6655520005661,910.6744165001146,1259.389041999384,1310.6095419998383,1324.2683419999594,1327.3415719999866,,168.71567366529715,13.686629045129566,160.97976722143744,162.2273375746014,166.6414977116017,190.92623417862356,197.40216390316274,198.85924809118407,,15469.423840333851,10535.542825915958,2475.0232187511756,14462.312187500174,22037.755041999844,30883.669760500652,33242.58035210087,33773.33523521093,,6,34.31892808300108,418.7776484522186,0.17483063531264345,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.3,5706.333333333333,842.1559633860385,4805,7099,51357,3646.777777777778,1005.3644753993756,1842,5158,32821,708.8073705549,220.96799928379312,325.88493399998697,746.1683749988879,882.2580663992994,961.4339919993654,980.2106319996528,984.4353759997175,,146.39572603513295,5.095971095499093,141.55596968090845,144.54659769902733,150.44927156746448,155.36463488324924,155.5927847779028,155.64411850419987,,25675.139189777638,7161.87586788009,15101.85309999979,29502.64120799875,30507.29753320047,34398.59460820044,36424.03522164044,36879.75935966445,,9,53.66658275000009,611.5723848655139,0.16770212558391348,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.4,6115.363636363636,938.4013749435087,4791,7343,67269,3318.4545454545455,1378.8787515841443,1685,6982,36503,473.6885492726618,233.1684581175631,260.0129795000612,321.93829100106086,734.2187499998545,833.5826039992753,842.2786871991775,844.2353059191555,,143.2181159289258,8.372638864540265,134.59161517437053,141.24664190049566,147.63079076545048,158.67010284608756,159.31988596352895,159.46608716495328,,23482.502276363448,8338.59491545897,13977.449583499947,20841.03362499991,29170.933666000565,36831.67031250014,42635.6564288999,43941.55330508987,,12,62.27892583399989,586.1212201587449,0.19268155060967426,1,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.5,6086.8,789.3085750621659,4710,7343,91302,2703.133333333333,699.3192753591801,1612,4304,40547,376.97758900006494,164.55404433059456,277.47007479920285,298.77329200098757,383.77755840083415,754.81947929984,820.655762259048,835.46892592487,,130.85856602828687,7.375368856947799,123.02277991809318,130.02596730708632,133.28145267716113,141.23980847345905,152.19020490730867,154.65404410492485,,21161.393647333047,5521.399814441841,14095.42613749909,20638.993042000948,23388.526549799648,31884.088174800123,33094.930767760525,33367.370351176614,,15,42.8852609580008,945.4763500147346,0.34977051940269366,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.6,5839.666666666667,656.8845662164192,4709,7095,105114,3201.8333333333335,1087.7882376639304,17,5644,57633,355.12530561138396,144.10343089363724,263.90417505072037,296.3460419996409,370.1771668005677,698.8336544994125,766.0470644993073,781.1700817492838,,125.26951137123554,13.170342883212546,116.0727598618927,122.6461252733201,126.9869828994009,136.21926161284205,168.8007268892133,176.13155657639697,,26499.179882055716,8625.771313196248,15679.581627551308,26722.747187499408,32031.27099220037,35613.286212401166,43140.4043752805,44834.00596192838,,18,49.6493491250003,1160.8007157334441,0.3625425170163274,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,0.8,5812.416666666667,680.8744938598367,4709,7154,139498,3199.2916666666665,1145.9766024068244,20,5895,76783,460.27964933341536,373.4389085485315,264.6368062507463,331.06989550014987,550.420949799082,757.0982563002871,1777.0387975001354,2049.448054750113,,112.30693277895337,5.683529742353129,105.92324645213613,111.4504628451955,114.82012424365146,124.12770178036224,128.35037077565218,129.25069144054405,,28834.58710074994,9611.800049929652,16201.493837550515,29349.58474999985,35767.75840019982,39762.00129190056,47826.74746232094,49940.22634593299,,24,58.4950732920006,1312.6404614745622,0.41029096382518904,0,1,0,0,,
together,graphon/graphon-Qwen3-Omni-30B-A3B-Instruct,qps,1.0,5890.333333333333,765.7388298601265,4859,7256,176710,2798.1666666666665,1245.8326555182102,20,6892,83945,458.21104166698206,263.31563103259964,267.1124501505801,313.2341870004893,716.2234331997753,943.1832017500706,1194.6402378204768,1259.8576237824736,,105.84995848895241,9.195116757833723,96.26500299571617,102.90747050313618,109.87793496372505,125.51967004747296,129.11923376697152,130.40440439079524,,26683.627895766644,9680.079602839525,13347.429352049221,26499.012145500274,32630.43790819975,41592.249804348896,50894.83171860966,52995.62262156109,,30,67.62756970900045,1241.2837007334876,0.4436060637560859,0,1,0,0,,
